From,To,Gate
PBMC,CD45-,CD45-
PBMC,CD45+,CD45+
CD45-,Platelets,CD41+
CD45+,B,CD19+ or CD20+
B,Naive B,"IgD+, CD27-"
B,Memory B,CD27+
B,Plasma cells,"CD38hi, CD20-"
CD45+,Mono,CD14+
Mono,Classical Mono,"CD14++, CD16-"
Mono,Intermediate Mono,"CD14+, CD16+"
Mono,Non-classical Mono,"CD14+, CD16++"
CD45+,"CD20-, CD3e-, CD14-","CD20-, CD3e-, CD14-"
"CD20-, CD3e-, CD14-",DC,HLA-DR+
DC,cDC1,"CD11c+, CD123-, CD141+"
DC,cDC2,"CD11c+, CD123-, CD1c+"
DC,pDC,"CD11c-, CD123+"
CD45+,T/NK,"CD3e+ or CD56+ or CD335+, or CD337+"
T/NK,T,CD3e+
T/NK,NK,CD3e-
NK,CD56bright NK,"CD56++, CD159a+"
NK,CD56dim NK,"CD56+, CD158+"
NK,Memory NK,"CD159c+, CD57+"
T,TCRab+,TCRab+
T,gdT,"TCRgd+, TCRVg9+ or TCRVd2+"
TCRab+,DPT,CD4+. CD8+
TCRab+,DNT,"CD4-, CD8-"
TCRab+,MAIT,"TCRva7.2+, CD27+"
TCRab+,NKT,CD56+
TCRab+,CD4 T,CD4+
TCRab+,CD8 T,CD8+
CD4 T,CD45RA+ CD45RO- CD4 T,"CD45RA+, CD45RO-"
CD4 T,CD45RA- CD45RO+ CD4 T,"CD45RA-, CD45RO+"
CD45RA+ CD45RO- CD4 T,"CD27+, CD28+, CD127+ CD4 T","CD27+, CD28+, CD127+"
"CD27+, CD28+, CD127+ CD4 T",Naive CD4 T,"CD95-, CD57-"
"CD27+, CD28+, CD127+ CD4 T",CD4 TSCM,CD95+
CD45RA+ CD45RO- CD4 T,"CD27-, CD28-, CD127- CD4 T","CD27-, CD28-, CD127-"
"CD27-, CD28-, CD127- CD4 T",CD4 TEFF,"CD95+, CD58hi"
"CD27-, CD28-, CD127- CD4 T",CD4 TEMRA,"CD95-, CD58lo"
CD45RA- CD45RO+ CD4 T,CD4 TCM,"CD27+, CD127+"
CD45RA- CD45RO+ CD4 T,CD4 TEM,"CD27+/-, CD127-"
CD8 T,CD45RA+ CD45RO- CD8 T,"CD45RA+, CD45RO-"
CD8 T,CD45RA- CD45RO+ CD8 T,"CD45RA-, CD45RO+"
CD45RA+ CD45RO- CD8 T,"CD27+, CD28+, CD127+ CD8 T","CD27+, CD28+, CD127+"
"CD27+, CD28+, CD127+ CD8 T",Naive CD8 T,"CD95-, CD57-"
"CD27+, CD28+, CD127+ CD8 T",CD8 TSCM,CD95+
CD45RA+ CD45RO- CD8 T,"CD27-, CD28-, CD127- CD8 T","CD27-, CD28-, CD127-"
"CD27-, CD28-, CD127- CD8 T",CD8 TEFF,"CD95+, CD58hi"
"CD27-, CD28-, CD127- CD8 T",CD8 TEMRA,"CD95-, CD58lo"
CD45RA- CD45RO+ CD8 T,CD8 TCM,"CD27+, CD127+"
CD45RA- CD45RO+ CD8 T,CD8 TEM,"CD27+/-, CD127-"
CD4 T,Treg,"CD25+, CD127lo"
CD45+,Granulocytes,"CD66b+ or (CD123+, CD193+)"
Granulocytes,Basophils,"CD123+, CD193+, CD66b-"
Granulocytes,Neutrophils,"CD66b+, CD16+"
Granulocytes,Eosinophils,"CD66b+, CD193+"
