"marker","uniprot_id","BIOGRID_INTERACTION_ID","BIOGRID_ID_A","BIOGRID_ID_B","SYSTEMATIC_NAME_A","SYSTEMATIC_NAME_B","OFFICIAL_SYMBOL_A","OFFICIAL_SYMBOL_B","SYNONYMS_A","SYNONYMS_B","EXPERIMENTAL_SYSTEM","EXPERIMENTAL_SYSTEM_TYPE","PUBMED_AUTHOR","PUBMED_ID","ORGANISM_A","ORGANISM_B","THROUGHPUT","QUANTITATION","MODIFICATION","QUALIFICATIONS","SOURCEDB","marker_A","marker_B","marker_A_A","marker_B_B"
"2B4","Q9BZW8",297033,110246,119709,"RP5-1052M9.3","-","SH2D1A","CD244","DSHP|EBVS|IMD5|LYP|MTCP1|SAP|SAP/SH2D1A|XLP|XLPD|XLPD1","2B4|NAIL|NKR2B4|Nmrk|SLAMF4","Affinity Capture-Western","physical","Morra M (2001)",11477068,9606,9606,"Low Throughput","-","-","-","BIOGRID",NA,"2B4",NA,"2B4"
"2B4","Q9BZW8",727565,119709,110246,"-","RP5-1052M9.3","CD244","SH2D1A","2B4|NAIL|NKR2B4|Nmrk|SLAMF4","DSHP|EBVS|IMD5|LYP|MTCP1|SAP|SAP/SH2D1A|XLP|XLPD|XLPD1","Affinity Capture-Western","physical","Chen R (2004)",15169881,9606,9606,"Low Throughput","-","-","-","BIOGRID","2B4",NA,"2B4",NA
"2B4","Q9BZW8",727567,119709,108810,"-","RP1-66H14.1","CD244","FYN","2B4|NAIL|NKR2B4|Nmrk|SLAMF4","SLK|SYN|p59-FYN","Affinity Capture-Western","physical","Chen R (2004)",15169881,9606,9606,"Low Throughput","-","-","-","BIOGRID","2B4",NA,"2B4",NA
"2B4","Q9BZW8",1188027,119709,116185,"-","PIG4","CD244","IMMT","2B4|NAIL|NKR2B4|Nmrk|SLAMF4","HMP|MINOS2|P87|P87/89|P89|PIG52","Affinity Capture-MS","physical","Huttlin EL (2015)",26186194,9606,9606,"High Throughput","0.981234068","-","BioPlex 1.0 HEK 293T cells CompPASS score = 0.981234068, threshold = 0.75. Quantitative scores calculated by CompPASS-Plus (Huttlin et al. Cell, 2015, PMID: 26186194).|See BioPlex Interactome for details (https://bioplex.hms.harvard.edu/index.php).|This data has also been reanalyzed as part of BioPlex 2.0 (PMID: 28514442) and BioPlex 3.0 (PMID: 33961781). Only scores from within BioPlex 1.0 (PMID: 26186194) should be compared directly.","BIOGRID","2B4",NA,"2B4",NA
"2B4","Q9BZW8",1188028,119709,116701,"-","-","CD244","CAND2","2B4|NAIL|NKR2B4|Nmrk|SLAMF4","TIP120B|Tp120b","Affinity Capture-MS","physical","Huttlin EL (2015)",26186194,9606,9606,"High Throughput","0.956147058","-","BioPlex 1.0 HEK 293T cells CompPASS score = 0.956147058, threshold = 0.75. Quantitative scores calculated by CompPASS-Plus (Huttlin et al. Cell, 2015, PMID: 26186194).|See BioPlex Interactome for details (https://bioplex.hms.harvard.edu/index.php).|This data has also been reanalyzed as part of BioPlex 2.0 (PMID: 28514442) and BioPlex 3.0 (PMID: 33961781). Only scores from within BioPlex 1.0 (PMID: 26186194) should be compared directly.","BIOGRID","2B4",NA,"2B4",NA
"2B4","Q9BZW8",1188029,119709,120433,"-","RP11-385F5.3","CD244","HEATR1","2B4|NAIL|NKR2B4|Nmrk|SLAMF4","BAP28|UTP10","Affinity Capture-MS","physical","Huttlin EL (2015)",26186194,9606,9606,"High Throughput","0.853275915","-","BioPlex 1.0 HEK 293T cells CompPASS score = 0.853275915, threshold = 0.75. Quantitative scores calculated by CompPASS-Plus (Huttlin et al. Cell, 2015, PMID: 26186194).|See BioPlex Interactome for details (https://bioplex.hms.harvard.edu/index.php).|This data has also been reanalyzed as part of BioPlex 2.0 (PMID: 28514442) and BioPlex 3.0 (PMID: 33961781). Only scores from within BioPlex 1.0 (PMID: 26186194) should be compared directly.","BIOGRID","2B4",NA,"2B4",NA
"2B4","Q9BZW8",1188030,119709,121976,"-","-","CD244","HEATR6","2B4|NAIL|NKR2B4|Nmrk|SLAMF4","ABC1","Affinity Capture-MS","physical","Huttlin EL (2015)",26186194,9606,9606,"High Throughput","0.811111765","-","BioPlex 1.0 HEK 293T cells CompPASS score = 0.811111765, threshold = 0.75. Quantitative scores calculated by CompPASS-Plus (Huttlin et al. Cell, 2015, PMID: 26186194).|See BioPlex Interactome for details (https://bioplex.hms.harvard.edu/index.php).|This data has also been reanalyzed as part of BioPlex 2.0 (PMID: 28514442) and BioPlex 3.0 (PMID: 33961781). Only scores from within BioPlex 1.0 (PMID: 26186194) should be compared directly.","BIOGRID","2B4",NA,"2B4",NA
"2B4","Q9BZW8",1188031,119709,116681,"-","-","CD244","PDXDC1","2B4|NAIL|NKR2B4|Nmrk|SLAMF4","LP8165","Affinity Capture-MS","physical","Huttlin EL (2015)",26186194,9606,9606,"High Throughput","0.999847198","-","BioPlex 1.0 HEK 293T cells CompPASS score = 0.999847198, threshold = 0.75. Quantitative scores calculated by CompPASS-Plus (Huttlin et al. Cell, 2015, PMID: 26186194).|See BioPlex Interactome for details (https://bioplex.hms.harvard.edu/index.php).|This data has also been reanalyzed as part of BioPlex 2.0 (PMID: 28514442) and BioPlex 3.0 (PMID: 33961781). Only scores from within BioPlex 1.0 (PMID: 26186194) should be compared directly.","BIOGRID","2B4",NA,"2B4",NA
"2B4","Q9BZW8",1188032,119709,111315,"-","-","CD244","PI4KA","2B4|NAIL|NKR2B4|Nmrk|SLAMF4","PI4K-ALPHA|PIK4CA|pi4K230","Affinity Capture-MS","physical","Huttlin EL (2015)",26186194,9606,9606,"High Throughput","0.841587388","-","BioPlex 1.0 HEK 293T cells CompPASS score = 0.841587388, threshold = 0.75. Quantitative scores calculated by CompPASS-Plus (Huttlin et al. Cell, 2015, PMID: 26186194).|See BioPlex Interactome for details (https://bioplex.hms.harvard.edu/index.php).|This data has also been reanalyzed as part of BioPlex 2.0 (PMID: 28514442) and BioPlex 3.0 (PMID: 33961781). Only scores from within BioPlex 1.0 (PMID: 26186194) should be compared directly.","BIOGRID","2B4",NA,"2B4",NA
"2B4","Q9BZW8",1188033,119709,115816,"-","-","CD244","ARFGEF1","2B4|NAIL|NKR2B4|Nmrk|SLAMF4","ARFGEP1|BIG1|P200","Affinity Capture-MS","physical","Huttlin EL (2015)",26186194,9606,9606,"High Throughput","0.815266592","-","BioPlex 1.0 HEK 293T cells CompPASS score = 0.815266592, threshold = 0.75. Quantitative scores calculated by CompPASS-Plus (Huttlin et al. Cell, 2015, PMID: 26186194).|See BioPlex Interactome for details (https://bioplex.hms.harvard.edu/index.php).|This data has also been reanalyzed as part of BioPlex 2.0 (PMID: 28514442) and BioPlex 3.0 (PMID: 33961781). Only scores from within BioPlex 1.0 (PMID: 26186194) should be compared directly.","BIOGRID","2B4",NA,"2B4",NA
